"","id","all_countries","title","abstract","start_date","end_date","amount","period_start","period_end","currency","extending_org","lead_org_name","lead_org_country","partner_org_name","partner_org_country","iati_id","Fund","Funder","recipient_country","subject","status","last_updated","link","fcdo_programme_id","funder_programme"
"11","GB-GOV-3-Chevening-Scholarships-MY","Malaysia","Chevening Scholarships in Malaysia","Assistance in line with UK objectives on Chevening Scholarships in Malaysia which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,2685206,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-MY","Chevening Scholarships","Foreign, Commonwealth and Development Office","Malaysia","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-MY","",NA
"12","GB-GOV-3-Chevening-Scholarships-NP","Nepal","Chevening Scholarships in Nepal","Assistance in line with UK objectives on Chevening Scholarships in Nepal which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,635836,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-NP","Chevening Scholarships","Foreign, Commonwealth and Development Office","Nepal","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-NP","",NA
"13","GB-GOV-3-Chevening-Scholarships-PG","Papua New Guinea","Chevening Scholarships in Papua New Guinea","Assistance in line with UK objectives on Chevening Scholarships in Papua New Guinea which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,201690,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-PG","Chevening Scholarships","Foreign, Commonwealth and Development Office","Papua New Guinea","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-PG","",NA
"14","GB-GOV-3-Chevening-Scholarships-PH","Philippines (The)","Chevening Scholarships in Philippines","Assistance in line with UK objectives on Chevening Scholarships in Philippines which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,2140730,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-PH","Chevening Scholarships","Foreign, Commonwealth and Development Office","Philippines (The)","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-PH","",NA
"15","GB-GOV-3-Chevening-Scholarships-SI","Solomon Islands","Chevening Scholarships in Solomon Islands","Assistance in line with UK objectives on Chevening Scholarships in Solomon Islands which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,238528,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-SI","Chevening Scholarships","Foreign, Commonwealth and Development Office","Solomon Islands","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-SI","",NA
"16","GB-GOV-3-Chevening-Scholarships-TH","Thailand","Chevening Scholarships in Thailand","Assistance in line with UK objectives on Chevening Scholarships in Thailand which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,1615918,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-TH","Chevening Scholarships","Foreign, Commonwealth and Development Office","Thailand","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-TH","",NA
"17","GB-GOV-3-Chevening-Scholarships-TO","Tonga","Chevening Scholarships in Tonga","Assistance in line with UK objectives on Chevening Scholarships in Tonga which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,136452,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-TO","Chevening Scholarships","Foreign, Commonwealth and Development Office","Tonga","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-TO","",NA
"18","GB-GOV-3-Chevening-Scholarships-VU","Vanuatu","Chevening Scholarships in Vanuatu","Assistance in line with UK objectives on Chevening Scholarships in Vanuatu which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,NA,NA,NA,NA,"Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-VU","Chevening Scholarships","Foreign, Commonwealth and Development Office","Vanuatu","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-VU","",NA
"19","GB-GOV-3-Chevening-Scholarships-WS","Samoa","Chevening Scholarships in Samoa","Assistance in line with UK objectives on Chevening Scholarships in Samoa which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,104640,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-WS","Chevening Scholarships","Foreign, Commonwealth and Development Office","Samoa","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-WS","",NA
"20","GB-GOV-3-PF-IND-927","India","India Tech Clusters – Cluster connectivity budget only","Support to the Tech Clusters of the UK-India Tech Partnership (UKITP) programme. This programme is designed to support inward/outward missions (academic and industry focused) to build linkages - such as but not limited to, formal academic exchange between key institutions and academic guidance/investor guidance to scale-ups. As a secondary benefit, the programme will aim to increase opportunities for international business and academic institutions, including for the UK, in areas where the UK is well placed to compete.","2020-03-01","2022-03-31",5000,"2019-07-01","2022-03-31","GBP","Foreign, Commonwealth and Development Office",NA,NA,"","","GB-GOV-3-PF-IND-927","Other","Foreign, Commonwealth and Development Office","India","Information and communication technology (ICT)","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-PF-IND-927","",NA
"21","GB-GOV-3-PF-IND-926","India","India Tech Clusters – Innovation challenge fund budget only","Support to the Tech Clusters of the UK-India Tech Partnership (UKITP) programme. This programme aims to award competitive grants for funding research into tech solutions to social and environmental issues. As a secondary benefit, the programme will aim to increase opportunities for international business, including for the UK, in areas where the UK is well placed to compete.","2019-12-01","2022-03-31",20000,"2019-07-01","2022-03-31","GBP","Foreign, Commonwealth and Development Office",NA,NA,"","","GB-GOV-3-PF-IND-926","Other","Foreign, Commonwealth and Development Office","India","Information and communication technology (ICT)","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-PF-IND-926","",NA
"22","GB-1-205053-147","Bangladesh","Study on Analytical support on Extreme Poverty - Bangladesh",NA,"2020-10-01","2022-07-31",119781,"2020-10-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,NA,"","","GB-1-205053","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh",NA,"Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-1-205053-147","205053","South Asia Country Research Fund"
"23","GB-1-205053-135","India"," Rapid Review of Assistive Technologies for People with Disabilities in India",NA,"2019-09-25","2022-07-31",23128,"2019-10-01","2020-03-31","GBP","Foreign, Commonwealth and Development Office",NA,NA,"","","GB-1-205053","FCDO fully funded","Foreign, Commonwealth and Development Office","India",NA,"Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-1-205053-135","205053","South Asia Country Research Fund"
"24","GB-1-205053-146","India","Roadmap for transformation: Towards long term climate compatible growth for India",NA,"2020-10-01","2022-07-31",385826,"2020-10-01","2021-12-31","GBP","Foreign, Commonwealth and Development Office","World Resources Institute","United States","","","GB-1-205053","FCDO fully funded","Foreign, Commonwealth and Development Office","India",NA,"Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-1-205053-146","205053","South Asia Country Research Fund"
"25","GB-1-205053-153","India","Assessing India’s Infrastructure Investment Priorities, Opportunities and Key Challenges",NA,"2021-01-28","2022-07-31",46338,"2021-01-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office","National Council of Applied Economic Research",NA,"","","GB-1-205053","FCDO fully funded","Foreign, Commonwealth and Development Office","India","Research/scientific institutions","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-1-205053-153","205053","South Asia Country Research Fund"
"26","GB-1-205053-145","Nepal","Understanding the factors contributing to maternal mortality in Nepal",NA,"2020-10-01","2022-07-31",32038,"2020-10-01","2020-12-31","GBP","Foreign, Commonwealth and Development Office",NA,NA,"","","GB-1-205053","FCDO fully funded","Foreign, Commonwealth and Development Office","Nepal",NA,"Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-1-205053-145","205053","South Asia Country Research Fund"
"27","GB-COH-03580586-SPHEIR","Kenya, Somalia, Sierra Leone, Myanmar, Jordan, Lebanon, Nigeria, Ghana, Rwanda, Tanzania, United Republic Of, Uganda","Strategic Partnerships for Higher Education Innovation and Reform (SPHEIR)","SPHEIR (Strategic Partnerships for Higher Education Innovation and Reform) aims to transform higher education systems in focus countries in Sub-Saharan Africa, Asia and the Middle East to better meet the needs of graduates and employers. It supports diverse, large-scale partnerships working across different sectors and countries to improve the quality, relevance, accessibility and affordability of higher education. It focuses on creating new and innovative solutions to key higher education challenges to deliver systemic and sustainable change at scale.","2016-10-17","2022-01-25",33878335,"2017-01-01","2021-12-31","GBP","Price Waterhouse Cooper","King's College London, Association of Commonwealth Universities, Volta Capital Ltd, The Open University, University of Nottingham, International Network for the Availability of Scientific Publications, Partnership for African Social and Governance Research","United Kingdom","","","GB-1-203166","FCDO fully funded","Foreign, Commonwealth and Development Office","Kenya, Somalia, Sierra Leone, Myanmar, Jordan, Lebanon, Nigeria, Ghana, Rwanda, Tanzania, United Republic Of, Uganda","Higher education, Education policy and administrative management, Educational research","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-03580586-SPHEIR","203166","Strategic Partnerships for Higher Education Innovation and Reform (SPHEIR)"
"28","GB-COH-03122495-A0014","Bangladesh, Belgium, Denmark, France, Germany, India, Italy, Mexico, Nigeria, Norway, Pakistan, Sierra Leone, South Africa, Tanzania, United Republic Of, United Arab Emirates (The), Uganda, United Kingdom Of Great Britain And Northern Ireland (The), United States Of America (The)","Economic Development & Institutions Research","Our vision for this programme is a rare combination of cutting-edge rigorous research and innovative policy engagement. This proposal sets out a powerful approach to addressing one of the fundamental challenges of economic development. ","2015-05-01","2022-03-31",13783904.69,"2021-04-01","2022-03-31","GBP","Oxford Policy Management","Oxford Policy Management, Paris School of Economics, Aide a la Decision Economique (ADE), University of Namur, University of California, Berkeley","United Kingdom, France, Belgium, United States","","","GB-1-203051","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh, Belgium, Denmark, France, Germany, India, Italy, Mexico, Nigeria, Norway, Pakistan, Sierra Leone, South Africa, Tanzania, United Republic Of, United Arab Emirates (The), Uganda, United Kingdom Of Great Britain And Northern Ireland (The), United States Of America (The)","Research/scientific institutions","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-03122495-A0014","203051","Economic Development and Institutions (EDI) research programme"
"30","GB-COH-871954-QR00180","Nepal","SHEAR Landslide risk reduction","SHEAR Landslide risk reduction","2017-08-01","2022-03-31",17000,"2018-04-01","2019-03-31","GBP","Practical Action","Practical Action","United Kingdom","","","GB-1-201884","FCDO fully funded","Foreign, Commonwealth and Development Office","Nepal","Disaster Risk Reduction","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-871954-QR00180","201884","SHEAR - Science for Humanitarian Emergencies and Resilience"
"31","GB-CHC-209131-A05500","Ghana, Kenya, Malawi, Nigeria, Sierra Leone, South Africa, Tanzania, United Republic Of, Uganda, Zambia, Bangladesh, Malaysia, Pakistan, Sri Lanka, India","Commonwealth Scholarships","The Commonwealth Scholarships Commission (CSC) provides the main UK Government scholarship scheme led by international development objectives. The CSC operates within the framework of the Commonwealth Scholarship and Fellowship Plan (CSFP). The CSFP is an international programme under which Commonwealth countries offer scholarships and fellowships to citizens of other member states. The British Council and the Association of Commonwealth Universities (ACU) are the two bodies appointed to provide services to the CSC to enable the administration of the UK scheme. The British Council provides overseas services.","2018-01-01","2021-12-31",1426327,"2018-01-01","2021-12-31","GBP","BRITISH COUNCIL","BRITISH COUNCIL",NA,"","","GB-1-204043","FCDO fully funded","Foreign, Commonwealth and Development Office","Ghana, Kenya, Malawi, Nigeria, Sierra Leone, South Africa, Tanzania, United Republic Of, Uganda, Zambia, Bangladesh, Malaysia, Pakistan, Sri Lanka, India","Higher education","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-CHC-209131-A05500","204043","The Commonwealth Scholarship and Fellowship Plan 2017/18 - 2020/21"
"35","US-EIN-37-1552838-14","Indonesia","Koltiva (Indonesia) - digitisation of the agri value chain","Digitises agri value chain (farmer profiling, procurement, advisory), including mobile money payments to farmers, advisory, data-driven decision agriculture, weather and crop insurance.","2020-06-02","2022-05-02",NA,NA,NA,NA,"GSMA Foundation","Koltiva",NA,"","","GB-1-203067","FCDO fully funded","Foreign, Commonwealth and Development Office","Indonesia","Agricultural research","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=US-EIN-37-1552838-14","203067","AGRI- TECH CATALYST- Supporting Agricultural Innovation for International Development"
"36","US-EIN-37-1552838-15","Sri Lanka","Dialog Sri Lanka - digitisation of the value chain","Digitises agri value chain (farmer profiling, procurement, advisory), including mobile money payments to farmers, loans, savings and agri weather based insurance based on commercia microwave links (CML) data.","2020-05-03","2022-05-03",NA,NA,NA,NA,"GSMA Foundation","Dialog",NA,"","","GB-1-203067","FCDO fully funded","Foreign, Commonwealth and Development Office","Sri Lanka","Agricultural research","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=US-EIN-37-1552838-15","203067","AGRI- TECH CATALYST- Supporting Agricultural Innovation for International Development"
"37","GB-CHC-228248-GAGE","Bangladesh, Ethiopia, Jordan, Lebanon, Nepal, Rwanda","Gender and Adolescence: Global Evidence (GAGE)","Gender and Adolescence: Global Evidence (GAGE) is a nine-year (2015-2024) mixed methods longitudinal research and evaluation study. It follows the lives of 20,000 adolescents in six low- and middle-income countries in Africa (Ethiopia and Rwanda), Asia (Bangladesh and Nepal) and the Middle East (Jordan and Lebanon). GAGE is generating evidence on ‘what works’ to enable adolescent girls and boys to emerge from poverty and fast-track social change for young people, their families and communities. It aims to explore what strategies are most effective in transforming girls’ and boys’ lives at specific junctures in adolescence.","2015-11-01","2024-11-30",25872749,"2015-11-01","2025-03-31","GBP","Overseas Development Institute","Overseas Development Institute","United Kingdom","","","GB-1-203529","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh, Ethiopia, Jordan, Lebanon, Nepal, Rwanda","Women's equality organisations and institutions, Ending violence against women and girls","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-CHC-228248-GAGE","203529","Adolescence Research Programme (formerly GGRI)"
"39","GB-COH-02651349-11271(2)","Bangladesh, Zambia, Ethiopia, Malawi, Nepal","Project Management Unit for an Applied Research Programme into High Volume Transport","The high level objective of the PMU is to achieve cost-effective, efficient and timely delivery of the research and uptake, capacity building and knowledge management programmes for HVT. The contract split into two parts; Part 1, lasting 15 months, will involve procurement of a review of the literature and evidence available under the four identified research areas and will deliver a series of state of knowledge papers, that will be used to identify and prioritise what future primary research might be undertaken in Part 2 and its scope. A detailed research plan will be proposed for Part 2 based on outcomes from Part 1. Part 2 is expected to run for 4 years.","2019-10-15","2023-01-30",1328313.4,"2019-10-15","2023-01-31","GBP","IMC WORLDWIDE","IMC WORLDWIDE, Integrated Transport Planning Ltd, Ann Frye Ltd, Vectos, University of York, Institute for Transportation & Development","United Kingdom","","","GB-1-203844","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh, Zambia, Ethiopia, Malawi, Nepal","Transport policy and administrative management","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-02651349-11271(2)","203844","Research on Growth and High Volume Transport in Low Income Countries"
"41","us-ein-522044704-NewVaccinesForTB","South Africa, United States Of America (The), China, United Kingdom Of Great Britain And Northern Ireland (The), Australia, Netherlands (The), Ireland","Aeras Product Development Partnership Programme 2013 to 2018: New Vaccines for Tuberculosis","AERAS PRODUCT DEVELOPMENT PARTNERSHIP PROGRAMME 2013 TO 2018: NEW VACCINES FOR TUBERCULOSIS","2013-04-01",NA,43246584,"2016-01-01","2016-12-31","USD","Aeras","Aeras","United States","","","GB-1-204136","FCDO fully funded","Foreign, Commonwealth and Development Office","South Africa, United States Of America (The), China, United Kingdom Of Great Britain And Northern Ireland (The), Australia, Netherlands (The), Ireland","Medical research","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=us-ein-522044704-NewVaccinesForTB","204136","New Vaccines For Tuberculosis – Aeras 2013-18"
"42","GB-COH-02622374-energy_saving_trust","Bangladesh, Cambodia, Cameroon, Colombia, Côte D'Ivoire, Congo (The Democratic Republic Of The), Ethiopia, Ghana, India, Indonesia, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mali, Mozambique, Nepal, Nigeria, Pakistan, Rwanda, Senegal, Sweden, Togo, Uganda, United Kingdom Of Great Britain And Northern Ireland (The), Tanzania, United Republic Of","Low Energy Inclusive Appliances","The Low Energy Inclusive Appliances programme (LEIA) aims to accelerate the availability, affordability, efficiency, and performance of a range of low energy inclusive appliances particularly suited to developing country contexts. LEIA was designed with extensive industry consultation regarding the specific challenges and opportunities of the off-grid clean energy access appliance market. The LEIA programme will be delivered through an international Efficiency for Access coalition convened by UK aid and Power Africa, involving a range of co-funders including Lighting Global, Rockefeller Foundation, Shell Foundation, Sida, EnDev, Good Energies Foundation, and more. The Efficiency for Access Coalition is coordinated by Energy Saving Trust, which specializes in energy efficiency product verification, data and insight, advice and research, alongside CLASP, the leading international voice and resource for appliance energy efficiency policies and market acceleration initiatives. The Efficiency for Access coalition is now scaling up and bringing together a range of support mechanisms to accelerate energy efficiency in clean energy access efforts, driving markets for super-efficient technologies, supporting innovation, and improving sector coordination.","2017-10-01","2022-10-31",8475001,"2017-10-01","2022-03-31","GBP","Energy Saving Trust","Energy Saving Trust, CLASP","United Kingdom","","","GB-GOV-1-300111-101","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh, Cambodia, Cameroon, Colombia, Côte D'Ivoire, Congo (The Democratic Republic Of The), Ethiopia, Ghana, India, Indonesia, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mali, Mozambique, Nepal, Nigeria, Pakistan, Rwanda, Senegal, Sweden, Togo, Uganda, United Kingdom Of Great Britain And Northern Ireland (The), Tanzania, United Republic Of","Energy generation, renewable sources - multiple technologies","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-02622374-energy_saving_trust","300111","EST - Energy Savings Trust - Low Energy Inclusive Appliances (LEIA)"
"48","GB-COH-02622374-energy_saving_trust","Bangladesh, Cambodia, Cameroon, Colombia, Côte D'Ivoire, Congo (The Democratic Republic Of The), Ethiopia, Ghana, India, Indonesia, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mali, Mozambique, Nepal, Nigeria, Pakistan, Rwanda, Senegal, Sweden, Togo, Uganda, United Kingdom Of Great Britain And Northern Ireland (The), Tanzania, United Republic Of","Low Energy Inclusive Appliances","The Low Energy Inclusive Appliances programme (LEIA) aims to accelerate the availability, affordability, efficiency, and performance of a range of low energy inclusive appliances particularly suited to developing country contexts. LEIA was designed with extensive industry consultation regarding the specific challenges and opportunities of the off-grid clean energy access appliance market. The LEIA programme will be delivered through an international Efficiency for Access coalition convened by UK aid and Power Africa, involving a range of co-funders including Lighting Global, Rockefeller Foundation, Shell Foundation, Sida, EnDev, Good Energies Foundation, and more. The Efficiency for Access Coalition is coordinated by Energy Saving Trust, which specializes in energy efficiency product verification, data and insight, advice and research, alongside CLASP, the leading international voice and resource for appliance energy efficiency policies and market acceleration initiatives. The Efficiency for Access coalition is now scaling up and bringing together a range of support mechanisms to accelerate energy efficiency in clean energy access efforts, driving markets for super-efficient technologies, supporting innovation, and improving sector coordination.","2017-10-01","2022-10-31",2347830,"2019-12-16","2021-09-30","USD","Energy Saving Trust","Energy Saving Trust, CLASP","United Kingdom","","","GB-GOV-1-300111-101","FCDO fully funded","Foreign, Commonwealth and Development Office","Bangladesh, Cambodia, Cameroon, Colombia, Côte D'Ivoire, Congo (The Democratic Republic Of The), Ethiopia, Ghana, India, Indonesia, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mali, Mozambique, Nepal, Nigeria, Pakistan, Rwanda, Senegal, Sweden, Togo, Uganda, United Kingdom Of Great Britain And Northern Ireland (The), Tanzania, United Republic Of","Energy generation, renewable sources - multiple technologies","Active",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-COH-02622374-energy_saving_trust","300111","EST - Energy Savings Trust - Low Energy Inclusive Appliances (LEIA)"
