"","organisation_country","organisation_name","no_projects"
"81","Brazil","Federal University of Minas Gerais",2
"82","Brazil","Federal University of Pernambuco",2
"83","Brazil","FioCruz",2
"84","Brazil","Sao Paulo State University UNESP",2
"85","Brazil","ABRASCO",1
"86","Brazil","EMBRAPA Brazilian Agricultural Research",1
"87","Brazil","FAPESP",1
"88","Brazil","FAPEX",1
"89","Brazil","Federal University of Campina Grande",1
"90","Brazil","Federal University of Mato Grosso do Sul",1
"91","Brazil","Federal University of Para",1
"92","Brazil","Geological Survey of Brazil (CPRM)",1
"93","Brazil","National Institute for Space Research",1
"94","Brazil","Oswaldo Cruz Foundation",1
"95","Brazil","Pontifical Catholic University of Rio de Janeiro",1
"96","Brazil","Porto Alegre Hospital",1
"97","Brazil","State University of Maringa",1
"98","Burkina Faso","Centre Muraz",1
"99","Burkina Faso","Centre National de Recherche et de Formation sur le Paludisme",1
"100","Burkina Faso","Clinical Research Unit of Nanoro",1
"101","Burkina Faso","Institut de Recherche en Sciences de la Santé Direction Régionale de l'Ouest",1
"102","Burkina Faso","Institut des Sciences et Techniques (INSTech), Burkina Faso",1
"103","Burkina Faso","Souro Sanou Teaching Hospital",1
"104","Cambodia","Cambodia Development Resource Institute",2
"105","Cambodia","Royal University of Phnom Penh",2
"106","Cambodia","Cambodian Sch of Prosthetics & Orthotics",1
"107","Cambodia","Documentation Center of Cambodia",1
"108","Cambodia","iDE Cambodia",1
"109","Cambodia","Mahidol Oxford Tropical Medicine Research Unit - Cambodia",1
"110","Cambodia","National Center for Parasitology Entomology and Malaria Control (CNM), Cambodia",1
"111","Cameroon","Douala General Hospital",3
"112","Cameroon","University of Yaounde",3
"113","Cameroon","University of Buea",1
"114","Canada","International Development Research Centre",9
"115","Canada","McMaster University",4
"116","Canada","McGill University",3
"117","Canada","University of Toronto",3
"118","Canada","Grand Challenges Canada",2
"119","Canada","Université Laval",2
"120","Canada","University of Alberta",2
"121","Canada","University of Ottawa",2
"122","Canada","Cowater International Inc",1
"123","Canada","CowaterSogema International Inc",1
"124","Canada","Laval University",1
"125","Canada","Thammasat University",1
"126","Canada","Univerity of Toronto",1
"127","Canada","University of British Columbia",1
"128","Canada","University of Calgary",1
"129","Canada","University of Montreal",1
"130","Canada","University of Waterloo",1
"131","Canada","University of Western Ontario",1
"132","Canada","York University Canada",1
"133","Chile","Pontifical Catholic University of Chile",2
"134","Chile","Pontificia Universidad Catolica de Chile",2
"135","Chile","Catholic University of the North",1
"136","Chile","Universidad de Santiago de Chile",1
"137","Chile","University of Chile",1
"138","China","Peking University",3
"139","China","China Ctr for Disease Control (CCDC)",2
"140","China","Chinese Academy of Sciences",2
"141","China","Fudan University",2
"142","China","Sichuan University",2
"143","China","Xiamen University",2
"144","China","Anhui Medical University",1
"145","China","Beijing Huading Boyuan Tech Co",1
"146","China","Beijing Normal University",1
"147","China","Changzhi Medical College",1
"148","China","China Agricultural University",1
"149","China","China Centre for Health Education",1
"150","China","Chinese People's Liberation Army (PLA) General Hospital",1
"151","China","City University of Hong Kong",1
"152","China","Fu Wai Hospital",1
"153","China","Guangzhou Medical University",1
"154","China","Jilin University, China",1
"155","China","Nankai University",1
"156","China","Ningbo University",1
"157","China","Peking University People's Hospital",1
"158","China","Shaanxi Normal University",1
"159","China","Shanghai Institute of Applied Physics",1
"160","China","Shanghai Jiao Tong University",1
"161","China","Shanxi Dayi Hospital",1
"162","China","Sun Yat-Sen University",1
"163","China","The George Institute for Global Health China (TGI China)",1
"164","China","Tianjin Medical University",1
"165","China","Tianjin University",1
"166","China","Tsinghua University",1
"167","China","University of Hong Kong",1
"168","China","Wuhan University",1
"169","China","Zhejiang University",1
"170","Colombia","University of the Andes - Colombia",6
"171","Colombia","National University of Colombia",5
"172","Colombia","Int Centre for Tropical Agriculture",2
"173","Colombia","IPA Colombia",2
"174","Colombia","University of Antioquia",2
"175","Colombia","Agrosavia",1
"176","Colombia","Dejusticia",1
"177","Colombia","EAFIT University",1
"178","Colombia","MediTech Foundation",1
"179","Colombia","Pontificia Universidad Javeriana",1
"180","Colombia","Universidad del Norte",1
"181","Colombia","University of Cauca",1
"182","Congo","Catholic University of Bukavu",1
"183","Congo","WHO-AFRICA Region",1
"184","Costa Rica","University of Costa Rica",1
"185","Cyprus","Cyprus University of Technology",1
"186","Czech Republic","Charles University",1
"187","Democratic Republic Of The Congo","University of Kinshasa",1
"188","Denmark","Technical University of Denmark",4
"189","Denmark","University of Copenhagen",4
"190","Denmark","Aalborg University",1
"191","Denmark","Copenhagen University Hospital",1
"192","Denmark","Danish Red Cross",1
"193","Denmark","Roskilde University",1
"194","Ecuador","National Polytechnic School",2
"195","Ecuador","FLACSO-Ecuador",1
"196","Ecuador","Pontifical Catholic Uni of Ecuador",1
"197","Ecuador","Universidad De las Américas",1
"198","Ecuador","Universidad Internacional del Ecuador",1
"199","Egypt","American University in Cairo",4
"200","Egypt","Ain Shams University",3
"201","Egypt","Cairo University",2
"202","Egypt","Ministry of State for Antiquities(Egypt)",2
"203","Egypt","Damietta University",1
"204","Egypt","Fayoum University",1
"205","Egypt","Mansoura University",1
"206","Ethiopia","Addis Ababa University",24
"207","Ethiopia","Jimma University",5
"208","Ethiopia","Armauer Hansen Research Institute (AHRI)",4
"209","Ethiopia","Mekelle University",4
"210","Ethiopia","Armauer Hansen Research Institute",3
"211","Ethiopia","Addis Ababa University - Centre for Innovative Drug Development and Therapeutic Trials for Africa",1
"212","Ethiopia","AMREF",1
"213","Ethiopia","Bahir Dar University",1
"214","Ethiopia","Debre Berhan University",1
"215","Ethiopia","Ethiopia Public Health Institute",1
"216","Ethiopia","Ethiopian Biodiversity Institute",1
"217","Ethiopia","Ethiopian Institute of Agricultural Res",1
"218","Ethiopia","Eyu-Ethiopia",1
"219","Ethiopia","Haramaya University",1
"220","Ethiopia","Hawassa University",1
"221","Ethiopia","National Podoconiosis Action Network (NaPAN)",1
"222","Ethiopia","Southern Agricultural Research Institute",1
"223","Ethiopia","University of Gondar",1
"224","Fiji","University of the South Pacific",3
"225","Fiji","Fiji National University",1
"226","Finland","Migration Institute of Finland",1
"227","France","CGIAR",6
"228","France","Institute of Research for Development",4
"229","France","UNESCO",2
"230","France","Activation",1
"231","France","CEVA Sante Animale",1
"232","France","INSERM",1
"233","France","Ministry of Agriculture",1
"234","France","Paris School of Economics",1
"235","France","Pierre Simon Laplace Institute IPSL",1
"236","Gabon","Center of Medical Research Lambaréné (CERMEL)",1
"237","Gabon","Tropical Ecology Research Institute IRET",1
"238","Gambia","Medical Research Council Unit (Gambia) London School of Hygiene and Tropical Medicine",4
"239","Gambia","Medical Research Council Unit The Gambia",2
"240","Gambia","Ministry of Health Gambia",2
"241","Gambia","MRC Unit, The Gambia",2
"242","Gambia","MRC Unit The Gambia at London School of Hygiene & Tropical Medicine",1
"243","Gambia","University of The Gambia",1
"244","Georgia","Curatio International Foundation",5
"245","Germany","University of Cologne",2
"246","Germany","Berlin School of Economics and Law",1
"247","Germany","Berlin University of Technology",1
"248","Germany","Center for Evaluation and Development",1
"249","Germany","Eurofins Agroscience Services GmbH",1
"250","Germany","German Leprosy and TB relief association",1
"251","Germany","Helmholtz Zentrum Munchen",1
"252","Germany","Karlsruhe Institute of Technology (KIT)",1
"253","Germany","Produkt + Markt GmbH",1
"254","Germany","Ruhr University Bochum",1
"255","Germany","University of Mannheim",1
"256","Germany","University of Potsdam",1
"257","Germany","University of Ulm",1
"258","Ghana","University of Ghana",35
"259","Ghana","University for Development Studies",4
"260","Ghana","Kwame Nkrumah University of Science and Technology (KNUST)",3
"261","Ghana","University of Cape Coast",3
"262","Ghana","Ghana College of Physicians and Surgeons",2
"263","Ghana","Noguchi Memorial Institute for Medical Research",2
"264","Ghana","Water Research Institute (CSIR)",2
"265","Ghana","ACTION ON PREECLAMPSIA, GHANA",1
"266","Ghana","Aim Initiative",1
"267","Ghana","CDD-Ghana",1
"268","Ghana","Cocoa Research Institute of Ghana",1
"269","Ghana","Council for Scientific and Industrial Research - Ghana",1
"270","Ghana","Department of Economics, University of Ghana",1
"271","Ghana","Ghana College of Pharmacists",1
"272","Ghana","Ghana Health Service",1
"273","Ghana","In-Africa Training",1
"274","Ghana","IPA Ghana",1
"275","Ghana","ISSER, UNIVERSITY OF GHANA",1
"276","Ghana","Kintampo Health Research Centre",1
"277","Ghana","Komfo Anokye Teaching Hospital",1
"278","Ghana","Korle Bu Teaching Hospital",1
"279","Ghana","Kwame Nkrumah University of Science and Technology",1
"280","Ghana","Lancaster University Ghana",1
"281","Ghana","MTN Ghana",1
"282","Ghana","Nanoro",1
"283","Ghana","Navrongo Health Research Centre",1
"284","Ghana","Research and Grant Institute of Ghana",1
"285","Ghana","University of Health and Allied Sciences",1
"286","Greece","Technical University of Crete",1
"287","Guatemala","University of the Valley of Guatemala",2
"288","Guatemala","Universidad del Valle de Guatemala",1
"289","Guatemala","University of San Carlos of Guatemala",1
"290","Guinea","Ministry of Health (Guinea Bissau)",1
"291","Guinea-Bissau","Bandim Health Project",1
"292","Guyana","University of Guyana",2
"293","Haiti","State University of Haiti (UEH)",2
"294","Haiti","Université d'État d'Haïti (UEH)",1
"295","Honduras","FLACSO Honduras",1
"296","Hong Kong","University of Hong Kong",1
"297","India","All India Institute of Medical Sciences",11
"298","India","Public Health Foundation of India",9
"299","India","Christian Medical College, Vellore",6
"300","India","Indian Institute for Human Settlements",5
"301","India","Indian Institute of Technology Bombay",5
"302","India","Jawaharlal Nehru University",5
"303","India","University of Delhi",5
"304","India","Indian Institute of Technology Delhi",4
"305","India","Sangath",4
"306","India","University of Hyderabad",4
"307","India","Indian Council for Medical Research",3
"308","India","Indian Institute of Technology",3
"309","India","National Institute of Mental Health and Neurosciences (NIMHANS)",3
"310","India","Tata Institute of Social Sciences (TISS)",3
"311","India","Ashoka Trust for Res in Ecology and Env",2
"312","India","Banaras Hindu University",2
"313","India","Centre for Chronic Disease Control",2
"314","India","Cept University",2
"315","India","Chest Research Foundation",2
"316","India","Council Scientific & Indust Res India",2
"317","India","Creative Gypsy",2
"318","India","CSI Holdsworth Memorial Hospital",2
"319","India","Devki Devi Foundation",2
"320","India","French Institute of Pondicherry",2
"321","India","Indian Central Inst of Fisheries Tech",2
"322","India","Indian Council of Agri Research (ICAR)",2
"323","India","Indian Institute of Management",2
"324","India","Indian Institute of Science Bangalore",2
"325","India","Indian Institute of Technology Hyderabad",2
"326","India","Indian Institute of Technology Madras",2
"327","India","Institute of chemical technology",2
"328","India","Jawaharlal Nehru Centre for Advanced Sci",2
"329","India","Madras Diabetes Research Foundation",2
"330","India","Maharaja Sayajirao University of Baroda",2
"331","India","Ministry of Health &Family Welfare India",2
"332","India","Schizophrenia Research Foundation (SCARF)",2
"333","India","Shiv Nadar University",2
"334","India","Tamil Nadu Veterinary and Animal Sci Uni",2
"335","India","TATA Trusts",2
"336","India","University College of Medical Sciences",2
"337","India","Veevan Ventures PTU",2
"338","India","Aga Khan Agency for Habitat India",1
"339","India","Aga Khan Trust",1
"340","India","Amrita Vishwa Vidyapeetham University",1
"341","India","Assam University",1
"342","India","Centre for Development Studies",1
"343","India","Chandigarh",1
"344","India","Ekjut",1
"345","India","GEOLOGICAL SURVEY OF INDIA",1
"346","India","Government of Gujarat",1
"347","India","Heritage City Development and Augmentation Yojana (HRIDAY)",1
"348","India","ICAR Research Complex for NEH Region",1
"349","India","IIHMR University",1
"350","India","Indian Agricultural Research Institute",1
"351","India","Indian Inst of Science Education and Res",1
"352","India","Indian Institute of Chemical Technology",1
"353","India","Indian Institute of Management Bangalore",1
"354","India","Indian Institute of Technology  - Indore",1
"355","India","Indian Institute of Technology Roorkee",1
"356","India","Indian Institute of Tropical Meteorology",1
"357","India","Indian School of Business (ISB)",1
"358","India","Indian Veterinary Research Institute",1
"359","India","Institute for Human Development",1
"360","India","Institute of Economic Growth",1
"361","India","Jadavpur University",1
"362","India","KEM Hospital Research Centre, Pune",1
"363","India","Kempegowda Institute of Medical Sciences (KIMS)",1
"364","India","King George Hospital",1
"365","India","KLE University",1
"366","India","Lady Hardinge Medical College",1
"367","India","Leprosy Mission India",1
"368","India","Madras Institute of Development Studies",1
"369","India","Maulana Azad Medical College",1
"370","India","Metro Center For Respiratory Disease",1
"371","India","Mohan Diabetes Research Foundation",1
"372","India","National Centre for Biological Sciences",1
"373","India","National Dairy Research Institute",1
"374","India","National Hospital",1
"375","India","National Institute of Advanced Studies",1
"376","India","National Institute of Cancer Prevention and Research",1
"377","India","National Institute of Design",1
"378","India","National Physical Laboratory (India)",1
"379","India","Navana Tech India",1
"380","India","Perinatal Trials Unit (corporate takeover by veenan Ventures)",1
"381","India","Pir Panchal",1
"382","India","Population Council India",1
"383","India","Post Graduate Institute of Medical Education & Research",1
"384","India","Postgraduate Institute of Medical Education and Research",1
"385","India","Pragya India",1
"386","India","S Nijalingappa Medical College and HSK Hospital & Research Centre",1
"387","India","Schizophrenia Research Foundation-India",1
"388","India","Silchar Medical College and Hospital",1
"389","India","Society for Education Action and Research in Community Health (SEARCH)",1
"390","India","Society for Nutrition, Education and Health Action (SNEHA)",1
"391","India","Sree Chitra Tirunal Institute for Medical Sciences and Technology",1
"392","India","Symbiosis International",1
"393","India","TATA Institute of Fundamental Research",1
"394","India","TERI University",1
"395","India","The George Institute India",1
"396","India","Trust Circle",1
"397","India","University of Mumbai",1
"398","India","Urban Health Resource Centre",1
"399","India","Young Lives India",1
"400","Indonesia","University of Indonesia",13
"401","Indonesia","Bandung Institute of Technology",5
"402","Indonesia","Centre for Int Forestry Research",3
"403","Indonesia","Eijkman Institute for Molecular Biology",3
"404","Indonesia","University of Brawijaya",3
"405","Indonesia","Bogor Agricultural University",2
"406","Indonesia","Indonesian Institute of Sciences",2
"407","Indonesia","Airlangga University",1
"408","Indonesia","Centre for Civic Education Indonesia",1
"409","Indonesia","Dr Soetomo General Hospital",1
"410","Indonesia","Hasanuddin University",1
"411","Indonesia","Nat Nuclear Energy Agency of Indonesia",1
"412","Indonesia","Pancasila University",1
"413","Indonesia","PT Freeport Indonesia",1
"414","Indonesia","Sam Ratulangi University",1
"415","Indonesia","SEAMEO RECFON",1
"416","Indonesia","Sepuluh Nopember Institute of Technology",1
"417","Indonesia","Syiah Kuala University",1
"418","Indonesia","Tadulako University",1
"419","Indonesia","University of Palangka Raya",1
"420","Indonesia","WWF Indonesia",1
"421","Iraq","The American University of Iraq, Sulaima",3
"422","Israel","Ben Gurion University of the Negev",1
"423","Israel","Hebrew University of Jerusalem",1
"424","Italy","Bocconi University",4
"425","Italy","bocconi university",1
"426","Italy","doctors with africa cuamm",1
"427","Italy","European University Institute",1
"428","Italy","Food and Agricultural Organisation UN",1
"429","Italy","National Research Council CNR - Italy",1
"430","Jamaica","University of the West Indies",12
"431","Jamaica","University of Technology,Jamaica",1
"432","Japan","CWS Japan",1
"433","Japan","Hitotsubashi University",1
"434","Japan","Nagasaki University",1
"435","Japan","National Institute of Mental Health",1
"436","Japan","United Nations University",1
"437","Jordan","Jordan University of Science & Tech",5
"438","Jordan","The University of Jordan",4
"439","Jordan","Yarmouk University",3
"440","Jordan","Al al-Bayt University",1
"441","Jordan","Department of Antiquities (Jordan)",1
"442","Jordan","German Jordanian University",1
"443","Jordan","Hashemite University",1
"444","Jordan","Jordan Bio-Industries Centre (JOVAC)",1
"445","Kazakhstan","Nazarbayev University",3
"446","Kenya","University of Nairobi",26
"447","Kenya","KEMRI Wellcome Trust Research Programme",11
"448","Kenya","Kenya Medical Research Institute",8
"449","Kenya","Strathmore University",8
"450","Kenya","Kenya Medical Research Institute (KEMRI)",6
"451","Kenya","African Centre for Technology Studies",5
"452","Kenya","World Agroforestry Centre",5
"453","Kenya","Int Livestock Research Institute",4
"454","Kenya","Kemri-Wellcome Trust Research Programme",4
"455","Kenya","Kenyatta University",4
"456","Kenya","Moi University",4
"457","Kenya","African Institute for Development Policy",3
"458","Kenya","African Institute for Development Policy (AFIDEP)",3
"459","Kenya","Aga Khan University",3
"460","Kenya","International Livestock Research Institute",3
"461","Kenya","Jomo Kenyatta Uni of Agri and Technology",3
"462","Kenya","Maseno University",3
"463","Kenya","Egerton University Kenya",2
"464","Kenya","Kenya Marine and Fisheries Research Inst",2
"465","Kenya","National Museums of Kenya",2
"466","Kenya","Technical University of Kenya",2
"467","Kenya","Technical University of Mombasa",2
"468","Kenya","African Institute for Development Policy (AFIDEP), Kenya",1
"469","Kenya","African Population and Health Research Centre (APHRC)",1
"470","Kenya","Amref Health Africa",1
"471","Kenya","Amref International University",1
"472","Kenya","ARCH",1
"473","Kenya","British Institute in Eastern Africa",1
"474","Kenya","BRITISH INSTITUTE IN EASTERN AFRICA",1
"475","Kenya","Co-operative University College of Kenya",1
"476","Kenya","Dedan Kimathi University of Technology",1
"477","Kenya","Health Strat",1
"478","Kenya","Institute Primate Research",1
"479","Kenya","International Livestock Research Institute, Kenya",1
"480","Kenya","IPA Kenya",1
"481","Kenya","Kenya Agricultural and Livestock Research Organization",1
"482","Kenya","Kenya Agricultural Research Institute",1
"483","Kenya","Kenya Forestry Research Institute",1
"484","Kenya","Kenya Industrial Research & Develop Inst",1
"485","Kenya","Kenya Medical Research Institute (Kemri)",1
"486","Kenya","Kenya Paediatric Association",1
"487","Kenya","Kenya Paediatric Research Consortium",1
"488","Kenya","Kenya Power",1
"489","Kenya","Kisii University",1
"490","Kenya","LVCT Health",1
"491","Kenya","Mbagathi County Hospital",1
"492","Kenya","MP Shah Hospital",1
"493","Kenya","Population Council Kenya",1
"494","Kenya","Pwani University",1
"495","Kenya","Red Cross Kenya",1
"496","Kenya","Respiratory Society of Kenya",1
"497","Kenya","The Population Council, Kenya",1
"498","Kenya","University of Eldoret",1
"499","Kenya","University of Kabianga",1
"500","Kosovo","University of Prishtina",1
"501","Kyrgyzstan","University of Central Asia",2
"502","Kyrgyzstan","National Centre of Cardiology & Internal Medicine",1
"503","Kyrgyzstan","Osh State University",1
"504","Laos","National University of Laos",1
"505","Lebanon","American University of Beirut",14
"506","Lebanon","Lebanese American University",3
"507","Lebanon","Saint Joseph University",2
"508","Lebanon","ABAAD",1
"509","Lesotho","National University of Lesotho",2
"510","Liberia","Actions Transforming Lives",1
"511","Liberia","IPA Liberia",1
"512","Liberia","University of Liberia - Pacific Institute of Research and Evaluation",1
"513","Madagascar","Institut Pasteur de Madagascar",2
"514","Madagascar","Association Vahatra",1
"515","Madagascar","Blue Ventures",1
"516","Madagascar","Pasteur Institute of Madagascar",1
"517","Madagascar","University of Antananarivo",1
"518","Malawi","University of Malawi",19
"519","Malawi","Malawi-Liverpool-Wellcome Clinical Research Programme",9
"520","Malawi","Malawi College of Medicine",5
"521","Malawi","Malawi Liverpool Wellcome Trust",5
"522","Malawi","Queen Elizabeth Central Hospital",4
"523","Malawi","University of Malawi College of Medicine",4
"524","Malawi","Lilongwe Uni of Agri and Nat Resources",3
"525","Malawi","Malawi Epidemiology and Intervention Research Unit (MEIRU)",2
"526","Malawi","Mzuzu University",2
"527","Malawi","University of Malawi - The Polytechnic",2
"528","Malawi","Blantyre Institute for Community Ophthalmology",1
"529","Malawi","Malawi Liverpool Wellcome Trust Clinical Research Programme",1
"530","Malawi","Malawi Liverpool Wellcome Trust Programme, Malawi",1
"531","Malawi","Malawi University of Science &Technology",1
"532","Malawi","Reach Trust",1
"533","Malawi","University of Livingstonia",1
"534","Malaysia","University of Malaya",10
"535","Malaysia","National University of Malaysia",7
"536","Malaysia","Kebangsaan University Malaysia",6
"537","Malaysia","Ministry of Health Malaysia",6
"538","Malaysia","Monash University Malaysia",4
"539","Malaysia","University Malaysia Sarawak (UNIMAS)",4
"540","Malaysia","Science University of Malaysia",3
"541","Malaysia","Technological University Malaysia",3
"542","Malaysia","Sunway University",2
"543","Malaysia","Universiti Putra Malaysia",2
"544","Malaysia","University Putra Malaysia",2
"545","Malaysia","Asia School of Business",1
"546","Malaysia","Cancer Research Malaysia",1
"547","Malaysia","Int Islamic University of Malaysia",1
"548","Malaysia","Malaysian Government",1
"549","Malaysia","UCSI University",1
"550","Malaysia","University of Tun Hussein Onn Malaysia",1
"551","Malaysia","University Teknikal Malaysia Melaka",1
"552","Malaysia","WorldFish",1
"553","Malaysia","WorldFish Center",1
"554","Maldives","The Maldives National University",1
"555","Mali","University of Bamako",3
"556","Mali","Centre for Vaccine Development (CVD)",1
"557","Mali","SIDRA-Somali Institute for Dvpt&Research",1
"558","Mali","University of Sciences, Techniques and Technologies of Bamako",1
"559","Mauritius","University of Mauritius",2
"560","Mauritius","ClinGlobal Limited",1
"561","Mauritius","MET SOC OF MAURITIUS",1
"562","Mexico","National Autonomous University of Mexico",7
"563","Mexico","Autonomous University of Chihuahua",1
"564","Mexico","Hospital Espanol de Veracruz",1
"565","Mexico","Sociedad Espanola De Beneficencia",1
"566","Mongolia","National University of Mongolia",1
"567","Mongolia","National Traumatology and Orthopedics Research Center (NTORC)",1
"568","Mozambique","Eduardo Mondlane University",8
"569","Mozambique","Kaleidoscopio",1
"570","Mozambique","Ministry of Health - Mozambique",1
"571","Myanmar","University of Medicine 1",1
"572","Namibia","University of Namibia",7
"573","Nepal","Tribhuvan University",11
"574","Nepal","Kathmandu University",3
"575","Nepal","TPO Nepal",3
"576","Nepal","Institute of Engineering",2
"577","Nepal","National Society for Earthquake Technolo",2
"578","Nepal","Patan Academy of Health Sciences",2
"579","Nepal","Practical Action Consulting Nepal",2
"580","Nepal","Birat Nepal Medical Trust",1
"581","Nepal","Build up Nepal Engineering",1
"582","Nepal","ForestAction Nepal",1
"583","Nepal","Heifer Project Nepal",1
"584","Nepal","ICIMOD",1
"585","Nepal","ISET-Nepal",1
"586","Nepal","Kathmandu Medical College Public Limited (KMC)",1
"587","Nepal","Leprosy Mission Nepal",1
"588","Nepal","Ministry of Health and Population, Nepal",1
"589","Nepal","Mother & Infant Research Activities (MIRA)",1
"590","Nepal","Nepal Health Research Council",1
"591","Nepal","Nepal Red Cross Society",1
"592","Nepal","Practical Action Nepal",1
"593","Nepal","SAGUN",1
"594","Nepal","Social Science baha",1
"595","Nepal","SOHAM-Nepal",1
"596","Nepal","Swantantrata Abhiyan",1
"597","Nepal","The Britain Nepal Medical Trust (BNMT)",1
"598","Nepal","Transcultural Psychological Organization (TPO)",1
"599","Nepal","Transcultural Psychosocial Organization (TPO) Nepal",1
"600","Netherlands","Radboud University Nijmegen",3
"601","Netherlands","University of Groningen",3
"602","Netherlands","Delft University of Technology",2
"603","Netherlands","University of Leiden",2
"604","Netherlands","Utrecht University",2
"605","Netherlands","Wageningen University",2
"606","Netherlands","Wageningen University & Research",2
"607","Netherlands","Erasmus University Rotterdam",1
"608","Netherlands","HealthNET TPO",1
"609","Netherlands","Leiden University Medical Centre",1
"610","Netherlands","Netherlands Inst of Ecology NIOO KNAW",1
"611","Netherlands","Safe Crossings",1
"612","Netherlands","Tilburg University",1
"613","Netherlands","University Medical Centre Utrecht",1
"614","Netherlands","University of Amsterdam",1
"615","Netherlands","University of Utrecht",1
"616","Netherlands ","GOGLA - Global Off-Grid Lighting Association",1
"617","Netherlands ","Wageningen University & Research - Stichting Wageningen Research",1
"618","New Zealand","University of Auckland",2
"619","New Zealand","Global Asthma Nework (GAN)",1
"620","New Zealand","University of Canterbury NZ",1
"621","New Zealand","University of Otago",1
"622","Niger","University of Nigeria Nsukka",3
"623","Niger","Int Inst of Tropical Agriculture Nigeria",2
"624","Niger","Epicentre Niger",1
"625","Niger","IPA Nigeria",1
"626","Niger","Univeristy of California, Los Angelos; IPA Nigeria",1
"627","Nigeria","University of Ibadan",15
"628","Nigeria","University of Lagos",7
"629","Nigeria","LAGOS STATE UNIVERSITY",5
"630","Nigeria","University of Abuja",3
"631","Nigeria","University of Nigeria Teaching Hospital",3
"632","Nigeria","Lagos State University College of Medicine",2
"633","Nigeria","National Open University of Nigeria",2
"634","Nigeria","Obafemi Awolowo University",2
"635","Nigeria","Bayero University",1
